epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6255,1.54699,4.90639,3.58776,1.74366,0.34845,0.41379,0.28489,0.17299,0.30057,0.24138,0.15663,0.07739,1.29098,4.74658,4.71311,1.92975,8.335e-05,8.335e-05,8.335e-05
2,13.5614,1.08351,3.80928,2.45718,1.48395,0.93852,0.68966,0.74213,0.54166,0.93852,0.68966,0.70149,0.48303,0.95719,2.29079,6.17495,1.43093,0.000177319,0.000177319,0.000177319
3,16.1856,0.85938,2.03546,1.48007,1.31406,0.78878,0.7931,0.75386,0.55042,0.78917,0.68966,0.69856,0.55066,1.02359,1.87328,4.28346,1.79815,0.000264686,0.000264686,0.000264686
4,18.6201,0.90406,1.78285,1.19975,1.27944,0.85603,0.86207,0.8748,0.54758,0.83203,0.72414,0.72919,0.55647,1.12556,1.8308,3.49695,2.26306,0.000345452,0.000345452,0.000345452
5,21.113,0.85685,1.46158,1.11847,1.20349,0.67161,0.68966,0.70808,0.47768,0.58434,0.51724,0.54696,0.41928,1.05554,2.28786,4.24752,1.64628,0.000419617,0.000419617,0.000419617
6,24.359,1.03913,1.9406,1.31628,1.37653,0.69501,0.68966,0.77323,0.58553,0.70047,0.68966,0.72266,0.59615,0.9671,2.67502,3.39688,1.53147,0.000487181,0.000487181,0.000487181
7,26.896,0.94907,1.42639,1.11167,1.21819,0.80992,0.72414,0.80226,0.56237,0.77135,0.68966,0.71611,0.49056,1.03566,3.81793,3.58289,1.81997,0.000548143,0.000548143,0.000548143
8,29.2464,0.82651,1.46272,0.92786,1.19615,0.87449,0.72091,0.81605,0.63271,0.87449,0.72091,0.75894,0.62027,0.88657,2.10951,2.76349,1.55615,0.000602504,0.000602504,0.000602504
9,31.687,0.86792,1.33003,1.01118,1.20629,0.39954,0.7931,0.53686,0.33148,0.38229,0.72414,0.49131,0.30648,1.19476,2.88084,5.82951,2.04734,0.000650263,0.000650263,0.000650263
10,34.0357,0.66637,1.33256,0.83692,1.17454,0.11366,0.82759,0.12711,0.07927,0.12125,0.7931,0.12394,0.08711,1.10757,2.10101,22.2596,2.12715,0.000691422,0.000691422,0.000691422
11,37.2683,1.03543,1.72997,1.04231,1.23544,0.88235,0.51724,0.7019,0.53665,0.88235,0.51724,0.67043,0.54273,0.91974,1.95677,5.47833,1.64031,0.000725979,0.000725979,0.000725979
12,39.5799,0.92361,1.44872,0.83554,1.2178,1,0.68966,0.83299,0.54907,1,0.68966,0.78553,0.60152,0.90278,1.75797,4.93016,1.7089,0.000753934,0.000753934,0.000753934
13,41.8555,0.8854,1.42208,0.78541,1.25145,1,0.68966,0.8287,0.60569,1,0.68966,0.76253,0.54643,0.9272,2.75449,3.87958,1.81945,0.000775288,0.000775288,0.000775288
14,44.1544,0.78149,1.30473,0.78211,1.14919,0.819,0.7931,0.81508,0.66055,0.78339,0.75862,0.77794,0.60385,0.83642,2.27032,3.18071,1.46124,0.000790041,0.000790041,0.000790041
15,46.6614,0.77122,1.31582,0.76895,1.23255,0.94399,0.75862,0.81881,0.64318,0.9048,0.72414,0.76778,0.61594,0.81805,2.39925,2.81694,1.45662,0.000798193,0.000798193,0.000798193
16,49.8186,0.75048,1.26478,0.79624,1.16308,0.69783,0.75862,0.79994,0.58633,0.66611,0.72414,0.7425,0.61973,0.95011,2.1881,3.91619,1.65088,0.000799743,0.000799743,0.000799743
17,52.1767,0.78657,1.37396,0.71675,1.14402,0.66965,0.75862,0.79437,0.51628,0.64061,0.72414,0.73688,0.5792,1.13261,1.80451,3.68975,1.7892,0.000786824,0.000786824,0.000786824
18,54.4717,0.70487,1.28637,0.70076,1.10571,0.83961,0.72414,0.7957,0.48661,0.79845,0.68325,0.73104,0.5492,1.40105,1.83302,2.58885,2.06739,0.000731813,0.000731813,0.000731813
19,56.9781,0.79449,1.08964,0.68537,1.23852,0.85565,0.75862,0.85249,0.60435,0.886,0.65517,0.75985,0.62979,1.05102,1.61402,1.77919,1.67791,0.000676802,0.000676802,0.000676802
20,59.4394,0.76586,1.2581,0.66568,1.17421,0.95772,0.78138,0.86351,0.65484,0.95772,0.78138,0.8153,0.64806,1.00876,2.08545,1.40454,1.59509,0.000621791,0.000621791,0.000621791
21,65.3454,0.67194,0.86943,0.74169,1.22731,0.7968,0.75862,0.76106,0.6127,0.7968,0.75862,0.7151,0.59443,0.88793,2.33761,1.21731,1.43691,0.00056678,0.00056678,0.00056678
22,67.6185,0.63159,0.9155,0.64789,1.26829,0.8863,0.80669,0.87395,0.66573,0.84889,0.77516,0.78765,0.65714,1.00825,1.93468,0.82846,1.64557,0.000511769,0.000511769,0.000511769
23,70.0128,0.68251,0.83667,0.61293,1.20409,0.96324,0.75862,0.87687,0.71066,0.9163,0.72414,0.74641,0.65405,0.84532,1.93261,0.82032,1.4004,0.000456758,0.000456758,0.000456758
